Month,Street Name,block,Town Index,Floor Area (sqm),Flat Type Index,Storey Index,Remaining Years,Lease Commence Date,Flat Model Index,Resale Price
2022-01,YISHUN AVE 11,424A,1,47,2,4,93,2015,16,293000
2022-01,YISHUN AVE 11,424A,1,47,2,4,93,2015,16,280000
2022-01,YISHUN AVE 11,459,1,48,2,3,90,2013,16,270000
2022-01,YISHUN AVE 4,672A,1,38,2,4,95,2018,16,273000
2022-01,YISHUN AVE 4,672A,1,38,2,4,95,2018,16,302000
2022-01,YISHUN AVE 11,348B,1,67,3,4,90,2013,9,470000
2022-01,YISHUN AVE 11,424A,1,67,3,4,93,2015,16,380000
2022-01,YISHUN AVE 11,348D,1,67,3,5,90,2013,9,467000
2022-01,YISHUN AVE 11,459,1,67,3,2,90,2013,16,375000
2022-01,YISHUN AVE 4,671A,1,68,3,2,95,2018,16,368000
2022-01,YISHUN AVE 4,672A,1,68,3,4,95,2018,16,450000
2022-01,YISHUN AVE 4,508A,1,68,3,5,95,2018,16,391000
2022-01,YISHUN AVE 4,672B,1,68,3,2,95,2018,16,391000
2022-01,YISHUN AVE 4,672A,1,68,3,3,95,2018,16,415000
2022-01,YISHUN AVE 4,508A,1,68,3,4,95,2018,16,405000
2022-01,YISHUN AVE 4,508A,1,68,3,3,95,2018,16,400000
2022-01,YISHUN AVE 4,506B,1,68,3,4,95,2018,16,408888
2022-01,YISHUN AVE 5,709,1,68,3,4,61,1984,20,345000
2022-01,YISHUN AVE 5,703,1,82,3,1,61,1984,20,350000
2022-01,YISHUN AVE 5,734,1,82,3,1,62,1985,20,370000
2022-01,YISHUN AVE 5,708,1,67,3,1,61,1984,20,318000
2022-01,YISHUN AVE 5,741,1,67,3,2,62,1985,20,370000
2022-01,YISHUN AVE 6,285,1,64,3,2,65,1988,19,328000
2022-01,YISHUN AVE 6,287,1,74,3,2,62,1985,16,335000
2022-01,YISHUN AVE 6,287,1,74,3,3,62,1985,16,330000
2022-01,YISHUN RING RD,241,1,67,3,3,64,1986,20,340000
2022-01,YISHUN RING RD,813A,1,67,3,4,95,2018,16,458000
2022-01,YISHUN RING RD,103,1,67,3,1,62,1985,20,318000
2022-01,YISHUN RING RD,107,1,67,3,4,59,1982,20,330000
2022-01,YISHUN RING RD,342B,1,68,3,1,93,2016,14,368000
2022-01,YISHUN ST 11,158,1,68,3,1,63,1985,20,345000
2022-01,YISHUN ST 11,144,1,68,3,2,61,1984,20,377000
2022-01,YISHUN ST 11,127,1,72,3,1,62,1984,20,340000
2022-01,YISHUN ST 11,128,1,74,3,2,62,1985,16,366000
2022-01,YISHUN ST 11,146,1,67,3,4,62,1985,20,370000
2022-01,YISHUN ST 11,151,1,67,3,3,62,1985,20,360000
2022-01,YISHUN ST 11,152,1,66,3,1,62,1985,20,350000
2022-01,YISHUN ST 21,225,1,67,3,4,63,1985,20,360000
2022-01,YISHUN ST 21,216,1,68,3,2,62,1985,20,355000
2022-01,YISHUN ST 21,225,1,67,3,4,62,1985,20,360000
2022-01,YISHUN ST 21,208,1,67,3,3,62,1985,20,368000
2022-01,YISHUN ST 21,204,1,67,3,1,62,1985,20,350000
2022-01,YISHUN ST 21,226,1,67,3,2,62,1985,20,330000
2022-01,YISHUN ST 51,502A,1,67,3,2,95,2018,16,395000
2022-01,YISHUN ST 51,501A,1,67,3,2,95,2018,16,385500
2022-01,YISHUN ST 51,501A,1,67,3,2,95,2018,16,395000
2022-01,YISHUN ST 51,512B,1,68,3,4,94,2017,16,400000
2022-01,YISHUN ST 61,645,1,64,3,1,69,1992,19,340000
2022-01,YISHUN ST 81,833,1,73,3,1,65,1988,16,348000
2022-01,YISHUN AVE 1,431A,1,92,4,3,92,2015,16,490000
2022-01,YISHUN AVE 11,348C,1,92,4,5,90,2013,9,628000
2022-01,YISHUN AVE 11,426B,1,92,4,3,92,2015,16,465000
2022-01,YISHUN AVE 11,348B,1,92,4,4,90,2013,9,640000
2022-01,YISHUN AVE 11,416,1,108,4,1,70,1993,16,429000
2022-01,YISHUN AVE 11,427,1,104,4,4,65,1988,16,468000
2022-01,YISHUN AVE 11,430A,1,92,4,2,93,2015,16,470000
2022-01,YISHUN AVE 11,343,1,108,4,2,65,1988,16,400000
2022-01,YISHUN AVE 11,439,1,84,4,3,65,1988,19,350000
2022-01,YISHUN AVE 11,430A,1,92,4,4,92,2015,16,488000
2022-01,YISHUN AVE 11,425,1,84,4,4,65,1988,19,390000
2022-01,YISHUN AVE 11,426C,1,92,4,2,92,2015,16,455000
2022-01,YISHUN AVE 3,766,1,104,4,2,62,1985,16,435000
2022-01,YISHUN AVE 4,506B,1,93,4,4,95,2018,16,505000
2022-01,YISHUN AVE 4,660,1,104,4,3,64,1987,16,458000
2022-01,YISHUN AVE 4,660,1,84,4,3,64,1987,19,410000
2022-01,YISHUN AVE 4,671B,1,93,4,3,95,2018,16,500000
2022-01,YISHUN AVE 4,672B,1,93,4,4,95,2018,16,550000
2022-01,YISHUN AVE 4,506C,1,93,4,3,95,2018,16,527000
2022-01,YISHUN AVE 4,662,1,104,4,1,64,1987,16,440000
2022-01,YISHUN AVE 4,507A,1,93,4,5,95,2018,16,510000
2022-01,YISHUN AVE 4,672B,1,93,4,4,95,2018,16,530000
2022-01,YISHUN AVE 4,860,1,104,4,2,65,1988,16,455888
2022-01,YISHUN AVE 4,861,1,105,4,3,66,1989,16,433000
